id,product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,img_link,product_link,tags
1,179297491.0,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,"₹1,099",64%,4.2,"24,269",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51UsScvHQNL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_1?qid=1672909124&s=electronics&sr=1-1,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
2,198386516.0,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹349,43%,4.0,"43,994",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31zOsqQOAOL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_2?qid=1672909124&s=electronics&sr=1-2,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
3,196282629.0,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,"₹1,899",90%,3.9,"7,928",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31IvNJZnmdL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Sounce-iPhone-Charging-Compatible-Devices/dp/B096MSW6CT/ref=sr_1_3?qid=1672909124&s=electronics&sr=1-3,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
4,187398635.0,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹329,₹699,53%,4.2,"94,363",https://m.media-amazon.com/images/I/41V5FtEWPkL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Deuce-300-Resistant-Tangle-Free-Transmission/dp/B08HDJ86NZ/ref=sr_1_4?qid=1672909124&s=electronics&sr=1-4,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
5,182531731.0,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹154,₹399,61%,4.2,"16,905",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31VzNhhqifL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-Konnect-POR-1080-Charging-Function/dp/B08CF3B7N1/ref=sr_1_5?qid=1672909124&s=electronics&sr=1-5,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
6,184195856.0,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹149,"₹1,000",85%,3.9,"24,871",https://m.media-amazon.com/images/I/31wOPjcSxlL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Solero-TB301-Charging-480Mbps-1-5-Meter/dp/B08Y1TFSP6/ref=sr_1_6?qid=1672909124&s=electronics&sr=1-6,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
7,182725222.0,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹176.63,₹499,65%,4.1,"15,188",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41jlwEZpa5L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/boAt-Micro-USB-Tangle-Free-Transmission/dp/B08WRWPM22/ref=sr_1_8?qid=1672909124&s=electronics&sr=1-8,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
8,183376299.0,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹229,₹299,23%,4.3,"30,411",https://m.media-amazon.com/images/I/31XO-wfGGGL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=sr_1_9?qid=1672909124&s=electronics&sr=1-9,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
9,1885365.0,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹499,₹999,50%,4.2,"1,79,691",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31e6ElWRymL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/TP-Link-TL-WN725N-150Mbps-Wireless-Adapter/dp/B008IFXQFU/ref=sr_1_10?qid=1672909124&s=electronics&sr=1-10,"computers&accessories, networkingdevices, networkadapters, wirelessusbadapters"
10,18215639.0,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹299,33%,4.0,"43,994",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31kj3q4SepL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_11?qid=1672909124&s=electronics&sr=1-11,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
11,182533767.0,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹154,₹339,55%,4.3,"13,391",https://m.media-amazon.com/images/I/31dJ+lXJq3L._SY300_SX300_.jpg,https://www.amazon.in/Portronics-POR-1081-Charging-1-2Meter-Function/dp/B08CF3D7QR/ref=sr_1_12?qid=1672909124&s=electronics&sr=1-12,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
12,178915929.0,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹299,₹799,63%,4.2,"94,363",https://m.media-amazon.com/images/I/41SDfuK7L2L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Rugged-Extra-Tough-Unbreakable-Braided/dp/B0789LZTCJ/ref=sr_1_13?qid=1672909124&s=electronics&sr=1-13,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
13,17821127.0,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹219,₹700,69%,4.4,"4,26,973",https://m.media-amazon.com/images/I/41nPYaWA+ML._SY300_SX300_.jpg,https://www.amazon.in/AmazonBasics-Flexible-HDMI-Cable-3-Foot/dp/B07KSMBL2H/ref=sr_1_14?qid=1672909124&s=electronics&sr=1-14,"electronics, hometheater,tv&video, accessories, cables, hdmicables"
14,185393672.0,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹350,₹899,61%,4.2,"2,262",https://m.media-amazon.com/images/I/31J6qGhAL9L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-Konnect-Delivery-Support-Braided/dp/B085DTN6R2/ref=sr_1_15?qid=1672909124&s=electronics&sr=1-15,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
15,19112531.0,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹159,₹399,60%,4.1,"4,768",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41R08zLK69L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-Konnect-POR-1401-Charging-Function/dp/B09KLVMZ3B/ref=sr_1_16?qid=1672909124&s=electronics&sr=1-16,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
16,18334239.0,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹349,₹399,13%,4.4,"18,757",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31gaP7qpBNL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Mi-Braided-USB-Type-C-Cable/dp/B083342NKJ/ref=sr_1_17?qid=1672909124&s=electronics&sr=1-17,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
17,116571342.0,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹13,999","₹24,999",44%,4.2,"32,840",https://m.media-amazon.com/images/I/51fmHk3km+L._SX300_SY300_.jpg,https://www.amazon.in/MI-inches-Ready-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_18?qid=1672909124&s=electronics&sr=1-18,"electronics, hometheater,tv&video, televisions, smarttelevisions"
18,182181941.0,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹249,₹399,38%,4.0,"43,994",https://m.media-amazon.com/images/I/41d84o5-M-L._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B082LSVT4B/ref=sr_1_19?qid=1672909124&s=electronics&sr=1-19,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
19,182716332.0,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹499,60%,4.1,"13,045",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41xwPQLxTML._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/boAt-A325-Tangle-Free-Charging-Transmission/dp/B08WRBG3XW/ref=sr_1_20?qid=1672909124&s=electronics&sr=1-20,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
20,183512269.0,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹13,490","₹21,990",39%,4.3,"11,976",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51v-2Nzr+ML._SY300_SX300_.jpg,https://www.amazon.in/LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T/ref=sr_1_21?qid=1672909124&s=electronics&sr=1-21,"electronics, hometheater,tv&video, televisions, smarttelevisions"
21,192673521.0,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹970,"₹1,799",46%,4.5,815,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41TZJiPRRwL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/DURACELL-Lightning-Certified-braided-Devices/dp/B09C6HXFC1/ref=sr_1_22?qid=1672909124&s=electronics&sr=1-22,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
22,185194951.0,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹279,₹499,44%,3.7,"10,962",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31MIyzg8uzL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Adapter-Projector-Computer-Laptop-Projectors/dp/B085194JFL/ref=sr_1_23?qid=1672909124&s=electronics&sr=1-23,"electronics, hometheater,tv&video, accessories, cables, hdmicables"
23,195688196.0,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹13,490","₹22,900",41%,4.3,"16,299",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51q3+E64azL._SX300_SY300_.jpg,https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_24?qid=1672909124&s=electronics&sr=1-24,"electronics, hometheater,tv&video, televisions, smarttelevisions"
24,193712789.0,Flix Micro Usb Cable For Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹59,₹199,70%,4.0,"9,378",https://m.media-amazon.com/images/I/31qGpf8uzuL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Flix-Micro-Cable-Smartphone-Black/dp/B09NHVCHS9/ref=sr_1_25?qid=1672909125&s=electronics&sr=1-25,"computers&accessories, accessories&peripherals, cables&accessories, cables, usbcables"
25,111412924.0,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹11,499","₹19,990",42%,4.3,"4,703",https://m.media-amazon.com/images/I/41gikeSuhAL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Acer-inches-Ready-Android-AR32AR2841HDFL/dp/B0B1YVCJ2Y/ref=sr_1_26?qid=1672909125&s=electronics&sr=1-26,"electronics, hometheater,tv&video, televisions, smarttelevisions"
26,11246681.0,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹199,₹699,72%,4.2,"12,153",https://m.media-amazon.com/images/I/41da4tk7N+L._SY300_SX300_.jpg,https://www.amazon.in/TIZUM-Slim-1-5m-HDMI-Cable/dp/B01M4GGIVU/ref=sr_1_27?qid=1672909125&s=electronics&sr=1-27,"electronics, hometheater,tv&video, accessories, cables, hdmicables"
27,18142123.0,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹14,999","₹19,999",25%,4.2,"34,899",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41WE9ZGEC4L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_29?qid=1672909125&s=electronics&sr=1-29,"electronics, hometheater,tv&video, televisions, smarttelevisions"
